seed,method,family,rmse,r2,fit_ms,converged,best_transform
0,identity_ols,Linearized OLS,97.3272396790376,0.7150620859167219,10.550625040195882,True,
0,log_smear,Linearized OLS,108.76965773184553,0.6441254330344638,40.72937497403473,True,
0,boxcox_smear,Linearized OLS,91.29515542574066,0.7492869775688208,2415.5567499110475,True,
0,bfgs_cold,Nonlinear cold,89.50886301288115,0.7590019609059212,1137.1900830417871,True,
0,random_forest,Tree ensemble,43.72304605690038,0.9424954447941247,779.1985420044512,True,
0,zzu_bfgs,ZZU hybrid,89.5207470411749,0.7589379623800462,987.5085829989985,True,log_smear
1,identity_ols,Linearized OLS,95.90100068774694,0.7219484455474123,11.758874985389411,True,
1,log_smear,Linearized OLS,116.90993342740792,0.586779483688868,12.01991701964289,True,
1,boxcox_smear,Linearized OLS,91.16774215118978,0.7487179606216027,2205.206249956973,True,
1,bfgs_cold,Nonlinear cold,88.93437571014266,0.7608786404819448,892.641874961555,True,
1,random_forest,Tree ensemble,42.00113947889735,0.9466663636651067,784.4144169939682,True,
1,zzu_bfgs,ZZU hybrid,88.93438423453541,0.7608785946422012,1102.4669170146808,True,log_smear
2,identity_ols,Linearized OLS,97.00992187726423,0.7149700657479438,17.58262503426522,True,
2,log_smear,Linearized OLS,108.77389178893418,0.6416499267734834,10.565500007942319,True,
2,boxcox_smear,Linearized OLS,90.94357809454006,0.7495031683219089,1805.845708004199,True,
2,bfgs_cold,Nonlinear cold,89.65926445095529,0.7565282898352259,962.2478749370202,True,
2,random_forest,Tree ensemble,42.09217889659665,0.946338726156028,781.3189170556143,True,
2,zzu_bfgs,ZZU hybrid,89.65904446021986,0.7565294846131485,1151.885874918662,True,log_smear
3,identity_ols,Linearized OLS,99.87656929148648,0.7042558554637349,11.853707954287529,True,
3,log_smear,Linearized OLS,113.08773045602047,0.6208422833864724,12.682124972343445,True,
3,boxcox_smear,Linearized OLS,94.45464107617964,0.735494000821763,2049.973624991253,True,
3,bfgs_cold,Nonlinear cold,93.4218547975922,0.7412467022371882,1258.5979579016566,True,
3,random_forest,Tree ensemble,46.327002183030054,0.9363706746732482,787.9752079024911,True,
3,zzu_bfgs,ZZU hybrid,93.42185480289154,0.7412467022078328,1755.229500005953,True,log_smear
4,identity_ols,Linearized OLS,98.67551449194781,0.712182039985692,14.507542015053332,True,
4,log_smear,Linearized OLS,111.58164488204905,0.631968823254761,13.464290997944772,True,
4,boxcox_smear,Linearized OLS,93.38957325789585,0.7421923064332832,2438.9417089987546,True,
4,bfgs_cold,Nonlinear cold,91.1335046516731,0.7544978863199711,1389.7490840172395,True,
4,random_forest,Tree ensemble,41.77934663900191,0.9484032460956366,804.7457080101594,True,
4,zzu_bfgs,ZZU hybrid,91.1335046624074,0.7544978862621373,1068.634666968137,True,log_smear
