dataset,method,variant,n,mean_rmse,std_rmse,mean_fit_time,std_fit_time,mean_n_iter,frac_converged
exponential_additive,bfgs,pure,10,5.14204096445302,0.5485951196317606,0.00244204139962676,0.00016746463092327612,19.8,1.0
exponential_additive,bfgs,zzu,10,10.75405521056705,7.192029956934668,0.003958559100647107,0.0015798975843629632,25.7,1.0
exponential_additive,gauss_newton,pure,10,5.14204096556026,0.5485951190547199,0.0014157474000967341,0.00016672933815651663,23.5,1.0
exponential_additive,gauss_newton,zzu,10,5.122390061711801,0.5685250403101738,0.0025622784003644485,0.0007356633667684803,26.1,1.0
exponential_additive,gradient_descent,pure,10,5.136728195133459,0.540545742648963,0.18837962350007728,0.0025460047922241133,5000.0,0.0
exponential_additive,gradient_descent,zzu,10,17.60376300600125,2.4655925094138467,0.1858336724995752,0.003498971290648051,5000.0,0.0
exponential_multiplicative,bfgs,pure,10,7.701177922243406,2.5609543405995536,0.0017249144006200368,0.0002669030046453641,12.7,1.0
exponential_multiplicative,bfgs,zzu,10,7.706256188578328,2.568732144445713,0.0021390429999883056,8.225766570890825e-05,9.3,1.0
exponential_multiplicative,gauss_newton,pure,10,7.701177922141504,2.5609543403060395,0.0013578074001998175,0.00012518088843449746,22.7,1.0
exponential_multiplicative,gauss_newton,zzu,10,7.706256189641126,2.568732146062275,0.0013358841995795955,4.855357562138639e-05,5.4,1.0
exponential_multiplicative,gradient_descent,pure,10,7.694929160773701,2.560090107677725,0.17619539489896852,0.035337032961789486,4524.0,0.3
exponential_multiplicative,gradient_descent,zzu,10,7.703530985056851,2.5666409918031308,0.14876652839957388,0.060787838711478914,3945.2,0.5
logistic_growth,bfgs,pure,10,3.0672281947466282,0.3615860165772595,0.0030668474999401953,0.0002357517224627518,12.7,1.0
logistic_growth,bfgs,zzu,10,3.0654398824391995,0.3535276994993435,0.01806370819977019,0.0061517999145085656,12.7,1.0
logistic_growth,gauss_newton,pure,10,3.0672281938811548,0.3615860163779973,0.0008957567006291356,7.526428154273103e-05,6.6,1.0
logistic_growth,gauss_newton,zzu,10,3.0654398819841617,0.35352769970751874,0.01584627660085971,0.0059282309425557934,6.6,1.0
logistic_growth,gradient_descent,pure,10,4.7296635780321505,0.42463638605387766,0.5207318875007332,0.21870901846522736,5000.0,0.0
logistic_growth,gradient_descent,zzu,10,4.490785455234211,0.4364127150195339,0.45864454169968666,0.0064298459837533245,5000.0,0.0
michaelis_menten,bfgs,pure,10,0.2967311023045907,0.05561265206164987,0.0016877005997230298,0.0001553474626797941,15.2,1.0
michaelis_menten,bfgs,zzu,10,0.29676295273273784,0.05567292110038994,0.0026627330007613637,0.0001501453042842103,15.2,1.0
michaelis_menten,gauss_newton,pure,10,0.296731102800639,0.0556126519422336,0.0007503941997129004,3.853528970281219e-05,12.1,1.0
michaelis_menten,gauss_newton,zzu,10,0.29676295310238926,0.055672920868139374,0.001777153000512044,7.525199940809925e-05,12.1,1.0
michaelis_menten,gradient_descent,pure,10,2.4460338580414938,0.2215830135228428,0.23968606980015467,0.16293030927943522,5000.0,0.0
michaelis_menten,gradient_descent,zzu,10,0.7534171900659415,0.09712558384058881,0.20908678320010948,0.07829103333098074,5000.0,0.0
multivariable_nonlinear,bfgs,pure,10,4.745290159165283,0.48433216538937457,0.02357881029965938,0.0017201244034059317,43.1,1.0
multivariable_nonlinear,bfgs,zzu,10,4.653986011946859,0.4113094052828593,0.056704384200202185,0.010371142523590662,43.44444444444444,1.0
multivariable_nonlinear,gauss_newton,pure,10,4.745290159265197,0.48433216525491385,0.00774975460008136,0.0021437856549490256,26.0,1.0
multivariable_nonlinear,gauss_newton,zzu,10,4.653986012132432,0.41130940510248715,0.04203663780062925,0.006291819010501845,26.11111111111111,1.0
multivariable_nonlinear,gradient_descent,pure,10,4.901764340857531,0.43734104356860504,1.2199584147994755,0.01088022588119152,5000.0,0.0
multivariable_nonlinear,gradient_descent,zzu,10,4.808659531455042,0.3732204071641891,1.1136687336995237,0.37962600496884086,5000.0,0.0
